"s","e","t","c","h","h","l","f"
"F",2,"N",25,70,70,4,"O"
"M",0,"N",47,77,77,6,"N"
"M",2,"N",50,71,71,5,"O"
"F",2,"N",50,65,65,4,"O"
"M",4,"Y",50,74,72,5,"N"
"F",9,"Y",70,61,65,7,"O"
"M",0,"N",162,76,76,4,"S"
"M",0,"N",150,73,76,4,"N"
"F",6,"N",50,65,69,4,"N"
"F",4,"N",30,63,66,5,"N"
"F",3,"N",50,64,67,3,"N"
"F",4,"N",50,67,67,3,"N"
"M",1,"Y",30,70,74,7,"N"
"M",0,"N",75,74,77,4,"N"
"F",2,"N",30,67,68,2,"S"
"M",0,"N",100,71,74,4,"N"
"M",0,"N",15,74,74,5,"S"
"F",5,"N",40,64.5,64.5,5,"N"
"M",0,"Y",200,73,77,7,"S"
"M",0,"N",100,68,76,4.5,"N"
"F",2,"Y",40,69.5,71,5,"O"
"M",2,"Y",78,71,77,5,"O"
"F",2,"N",65,67,66,4.5,"O"
"M",3,"N",60,71,74,5,"N"
"M",0,"N",100,74,76,3,"N"
"M",0,"N",15,69,72,5,"N"
"F",4,"N",20,65,70,3,"N"
"F",9,"N",30,66,68,5,"O"
"F",0,"N",60,66,66,4,"N"
"F",2,"N",76,66,64,4,"O"
"F",0,"N",30,67,67,6,"O"
"F",4,"N",12,65,67,7,"S"
"F",4,"N",50,64,66,0,"O"
"M",0,"N",75,72,69,3,"O"
"M",0,"N",60,74,74,5,"N"
"F",4,"N",50,67,65,5,"N"
"M",0,"N",75,73,76,2,"N"
"F",4,"N",30,62,66,7,"N"
"M",0,"N",2,70,72,6,"S"
"F",2,"N",40,60,66,3,"N"
"M",0,"N",75,69,73,6,"N"
"M",0,"N",50,74,80,7,"S"
"F",5,"N",150,62,67,6,"O"
"F",4,"N",35,65,68,4,"N"
"M",1,"N",100,68,72,4.5,"N"
"F",4,"N",75,66,66,6,"N"
"F",4,"N",100,64,67,0,"N"
"F",2,"N",50,67,70,3,"O"
"F",5,"Y",200,69,69,0,"O"
"F",8,"N",130,66,67,7,"N"
"F",2,"N",45,64,65,4,"O"
"F",4,"N",12,64,68,5,"N"
"F",8,"N",50,69,68,4,"O"
"M",0,"N",80,67,71,5,"O"
"F",2,"N",25,66,66,5,"O"
"M",0,"N",120,71,72,7,"N"
"F",2,"N",50,68,70,5,"O"
"F",4,"N",175,63,66,5,"N"
"F",5,"N",30,65,67,5,"N"
"F",2,"N",25,66,66,3,"N"
"F",4,"N",40,63,65,6,"O"
"M",2,"N",50,70,70,5,"N"
"F",2,"N",40,65,66,4,"O"
"F",5,"N",150,64,64,4,"N"
"F",2,"N",50,64,64,5,"N"
"F",5,"N",100,65,65,5,"N"
"F",5,"Y",27,67,69,3,"N"
"F",2,"N",30,61,64,4,"S"
"M",0,"N",50,69,69,5,"N"
"M",2,"Y",40,70,72,6,"S"
"F",4,"N",20,67,68,4,"O"
"F",2,"N",100,64,64,2,"O"
"F",4,"N",100,63,67,3,"O"
"M",0,"N",110,70,74,5,"N"
"F",4,"N",100,63,69,5,"O"
"M",0,"N",115,69,73,4,"N"
"F",4,"N",65,64,66,8,"N"
"F",2,"N",30,67,68,7,"O"
"M",0,"Y",50,75,77,3,"N"
"M",0,"Y",100,70,73,4,"N"
"F",2,"N",100,65,66,4.5,"O"
"M",0,"N",20,66,72,4,"N"
"M",2,"Y",130,74,74,4,"S"
"F",6,"N",30,64,66,4,"O"
"F",5,"N",80,63,68,4,"O"
"F",4,"N",100,63,63,5,"O"
"F",5,"N",2,63,63,5,"N"
"M",0,"N",70,70,72,5,"N"
"F",5,"N",30,67,68,4,"N"
"F",2,"N",30,66,66,5,"O"
"F",2,"N",50,67,68,6,"S"
"F",6,"N",20,65,69,4,"N"
"F",2,"N",100,67,69,4,"N"
"F",7,"Y",80,67,67,4,"S"
"F",4,"N",60,67,65.5,4,"S"
"F",6,"N",40,62.5,64,5,"N"
"F",2,"N",60,67,69,5,"N"
"F",8,"Y",75,68,65,6,"O"
"F",2,"N",85,66,70,3,"O"
"M",0,"N",150,68,71,2,"N"
"F",6,"Y",20,67,67,5,"O"
"F",7,"Y",100,64,66,4,"O"
"F",2,"N",15,62,66,5,"O"
"M",0,"N",100,74,72,7,"O"
"M",0,"N",155,71,72,5,"O"
"F",4,"N",40,65,70,4,"N"
"F",2,"N",20,63,68,4,"S"
"M",0,"N",160,74,74,4,"S"
"M",0,"N",200,72,80,5,"S"
"F",0,"N",250,63,65,4,"O"
"M",1,"Y",100,69,72,5,"N"
"F",8,"N",50,60,66,5,"O"
"F",6,"N",150,60,65,5,"O"
"F",5,"N",30,67,69,5,"N"
"M",0,"N",10,71,76,5,"O"
"F",5,"N",35,64,68,4,"O"
"M",0,"N",120,71,73,5,"N"
"M",0,"N",55,71,73,7,"N"
"F",2,"N",35,65,65,7,"N"
"F",5,"N",100,64,67,5,"N"
"F",4,"N",10,61,64,6,"N"
"M",3,"Y",80,72,74,6,"O"
"F",5,"Y",60,66,70,6,"O"
"M",0,"N",60,72,72,5,"N"
"F",5,"Y",65,61,68,5,"S"
"F",13,"N",125,66,68,4,"O"
"F",2,"N",75,64.75,67,4,"O"
"F",2,"N",0,65,65,5,"N"
"M",0,"N",100,67,72,4,"N"
"M",0,"N",50,72,78,7,"N"
"M",0,"N",77,67,70,6,"N"
"F",4,"Y",65,64,69,5,"O"
"F",2,"N",30,65,66,3,"N"
"F",7,"N",50,63,65,6,"N"
"M",0,"N",100,74,72,6,"S"
"F",4,"N",25,70,70,2,"N"
"F",6,"N",60,65,67,4,"O"
"F",4,"N",30,66,68,4,"S"
"F",2,"N",20,65,65,1,"N"
"M",0,"N",100,68,71,5,"O"
"F",4,"N",100,69,67,2,"N"
"F",2,"N",50,64,67,5,"N"
"F",4,"N",85,65,67,2,"O"
"M",0,"N",1,69,74,3,"N"
"F",5,"N",75,61,65,7,"O"
"F",7,"N",40,63,66,5,"O"
"M",0,"N",40,70,73,6,"N"
"F",3,"N",20,65,65,4,"S"
"F",2,"N",80,68,68,3,"O"
"F",0,"N",170,64,64,3,"N"
"F",2,"N",60,65,67,2,"S"
"F",2,"N",17,67,68,7,"S"
"F",2,"N",10,66,68,5,"N"
"F",3,"Y",100,66,66,3,"O"
"F",4,"N",150,71,68,5,"N"
"F",2,"N",200,66,66,3,"O"
"F",4,"Y",100,61,63,8,"N"
"F",7,"N",50,67,69,1,"N"
"F",4,"N",200,66,67,4,"O"
"M",0,"N",20,76,82,5,"N"
"F",6,"Y",30,63,69,5,"O"
"M",2,"Y",50,72,72,4,"N"
"F",3,"Y",800,60,67,4,"N"
"M",0,"N",200,70,74,7,"N"
"F",4,"N",40,66,64,5,"N"
"M",1,"N",20,72,74,5,"S"
"F",2,"N",250,62,69,4,"N"
"F",7,"Y",50,62.5,65,5,"N"
"M",0,"N",35,69,72,4,"N"
"F",2,"N",50,63,67,5,"N"
"F",0,"N",50,66,67,5,"N"
"F",2,"N",200,67,66,4,"N"
"F",8,"Y",20,71,71,4,"S"
"M",0,"N",25,70,72,6,"S"
"F",3,"N",75,70,70,4.5,"S"
"F",5,"N",40,63,65,5,"N"
"F",5,"N",150,65,65,1,"O"
"F",2,"N",25,65,67,5,"N"
"F",4,"N",30,65,65,4,"N"
"F",6,"N",30,62,64,4,"N"
"M",0,"N",30,73,71,5,"N"
"F",6,"Y",30,68,68,4,"O"
"F",6,"N",4,63,69,5,"O"
"M",5,"Y",212,70,73,5,"O"
"F",2,"N",150,66,68,4,"O"
"F",3,"N",50,66,69,4,"O"
"F",3,"N",25,62,66,3,"O"
"F",6,"N",65,72,72,1,"N"
"F",2,"N",40,67,69,3,"O"
"F",0,"N",100,61,61,8,"N"
"F",4,"N",50,63,66,5,"S"
"F",2,"N",28,61,65.5,4,"N"
"M",0,"N",120,68,68,3,"N"
"F",2,"N",75,60,66,3,"N"
"M",0,"N",80,72,77,5,"O"
"F",2,"N",30,70,70,5,"N"
"M",2,"N",150,66,70,5,"O"
"M",0,"Y",150,72,74,5,"O"
"F",4,"N",55,66,66,5,"O"
"M",0,"N",6,75,75,9,"S"
"F",6,"N",30,68,68,3,"N"
"M",4,"N",50,71,71,4.5,"O"
"M",0,"N",50,70,2,6,"N"
"M",0,"N",40,69,72,4,"O"
"F",5,"N",50,64,2,4,"S"
