Year,Vehicle,GDP
1992,2907022,5615
1993,3238754,6205
1994,3570497,6784
1995,3874203,7397
1996,4146475,8037
1997,4411911,8717
1998,4545488,9381
1999,4509430,9816
2000,4716217,10351
2001,4825581,10158
2002,4989336,10681
2003,5169733,10966
2004,5390848,11650
2005,5634362,12092
2006,5698324,12641
2007,5712842,13407
2008,5674426,13151
2009,5704312,12962
2010,5803413,14119
2011,5960088,14312
2012,6091324,14687
2013,6236879,15231
2014,6405778,16112
2015,6573746,16759
2016,6666006,17119
2017,6703442,17431
 ,,
