distance,price
40.15,21.31
48.19,12.04
30.3,98.99
60.38,7.83
58.33,5.8
38.7,7.73
45.49,48.31
33.47,27.65
50,21.67
54.49,18.29
36.71,26.77
57.14,24.49
71.37,22.12
27.7,106.82
32.86,83.89
40.64,82.72
32.27,51.49
32.26,38.67
29.24,17.03
43.8,16.26
24.93,37.86
38.67,26.05
44.82,2.74
44.08,2.9
42.39,2.61
52.26,35.22
53.39,11.57
34.78,3.58
43.28,48.53
29.69,38.92
53.47,22.25
31.32,87.45
43.57,18.84
51.04,20.38
44.34,43
48.72,73.14
80.28,26.59
29.63,131.85
26.28,110.04
52.78,30.62
56.49,19.58
64,42.83
74.45,2.34
38.02,31.77
67.84,27.75
46.7,30.11
33.92,16.5
36.12,16.68
43.08,77.13
41.63,66.79
47.97,27.1
79.27,19.83
44.3,27.77
40.16,10.43
47.46,4.92
32.37,26.28
35.73,29.57
36.7,24.64
36.52,14.77
75.95,37.73
44.52,17.97
40.06,17.55
62.99,64.72
31.54,45.29
50.11,11.53
39.35,11.56
34.31,2.74
46.79,20.15
60.95,17.85
59.45,35.07
27.17,91.36
46.3,41.16
46.14,53.32
51.23,18.81
47.23,16.39
62.23,8.8
43.42,9.46
37.7,13.22
59.88,15.26
64.94,15.26
63.73,17.55
31.28,15.56
38.95,37.65
27.7,106.82
32.04,43.46
42.45,50.88
32.55,41.93
26.87,36.56
35,42.43
56.58,3.91
67.59,3.22
63.25,9.96
51.06,40.46
52.73,31.15
56.73,34.45
37.25,22.58
